;sp260223_001 ch: 1907283U1;;sp260223_001 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
248,9830;123,31469;233,7407;82,445569;
249,2719;121,65329;234,0279;81,811735;
249,5608;122,47881;234,3151;83,044645;
249,8497;128,45731;234,6023;84,39174;
250,1386;122,63608;234,8895;81,260728;
250,4275;125,7711;235,1766;73,423314;
250,7164;128,62175;235,4638;82,508772;
251,0053;127,05321;235,7510;89,758693;
251,2942;128,1064;236,0382;82,906354;
251,5831;125,95279;236,3254;78,53993;
251,8720;129,66662;236,6126;80,50898;
252,1609;125,35259;236,8998;82,287443;
252,4498;130,0091;237,1870;76,283428;
252,7387;132,70154;237,4742;83,496748;
253,0275;124,32515;237,7614;79,105375;
253,3164;133,94774;238,0486;83,827149;
253,6053;140,64638;238,3357;83,94283;
253,8942;136,63361;238,6229;78,739592;
254,1831;133,37261;238,9101;83,994337;
254,4720;129,14954;239,1973;88,905191;
254,7609;130,1051;239,4845;83,847656;
255,0498;134,8094;239,7717;78,279742;
255,3387;139,40043;240,0589;73,989997;
255,6276;149,5392;240,3461;84,30418;
255,9165;142,90908;240,6333;81,213517;
256,2054;135,7089;240,9205;84,335581;
256,4943;143,41885;241,2077;77,888412;
256,7832;146,79853;241,4949;77,675053;
257,0721;145,63105;241,7820;83,493139;
257,3610;139,08868;242,0692;86,012088;
257,6498;137,47924;242,3564;84,021411;
257,9387;141,13604;242,6436;83,32119;
258,2276;137,58741;242,9308;84,419929;
258,5165;133,00688;243,2180;84,504602;
258,8054;118,18737;243,5052;83,244853;
259,0943;120,91273;243,7924;82,117604;
259,3832;128,61902;244,0796;83,124852;
259,6721;126,79575;244,3668;83,37916;
259,9610;134,42859;244,6540;81,455751;
260,2499;133,42431;244,9411;84,455217;
260,5388;129,78324;245,2283;85,234748;
260,8277;133,69762;245,5155;82,930051;
261,1166;124,83732;245,8027;82,154392;
261,4055;118,42309;246,0899;82,830895;
261,6944;114,58719;246,3771;84,923334;
261,9833;123,33013;246,6643;88,274309;
262,2721;123,3827;246,9515;81,362746;
262,5610;125,4975;247,2387;79,851696;
262,8499;118,52209;247,5259;86,052553;
263,1388;127,52336;247,8131;80,186424;
263,4277;135,34659;248,1003;80,240563;
263,7166;130,14647;248,3874;80,636151;
264,0055;126,8475;248,6746;86,567924;
264,2944;126,80958;248,9618;88,108203;
264,5833;122,57007;249,2490;82,074367;
264,8722;122,05232;249,5362;79,590092;
265,1611;134,44663;249,8234;85,38304;
265,4500;132,04131;250,1106;86,960306;
265,7389;127,39095;250,3978;84,509344;
266,0278;128,13315;250,6850;86,408198;
266,3167;132,61164;250,9722;86,211598;
266,6056;130,54907;251,2594;83,106273;
266,8944;131,53706;251,5465;83,009192;
267,1833;136,87991;251,8337;80,301149;
267,4722;132,35275;252,1209;78,056414;
267,7611;132,05422;252,4081;87,081443;
268,0500;130,42628;252,6953;84,13486;
268,3389;135,14979;252,9825;88,510711;
268,6278;123,81309;253,2697;91,347081;
268,9167;130,26147;253,5569;88,209476;
269,2056;127,8976;253,8441;83,184926;
269,4945;115,38899;254,1313;85,613814;
269,7834;113,83892;254,4185;88,91908;
270,0723;118,09447;254,7057;87,756067;
270,3612;121,81515;254,9928;89,357144;
270,6501;121,86789;255,2800;89,580219;
270,9390;115,651;255,5672;82,602102;
271,2279;113,24041;255,8544;82,493056;
271,5168;111,73398;256,1416;87,006934;
271,8056;111,5893;256,4288;88,950008;
272,0945;110,59232;256,7160;88,946219;
272,3834;105,89645;257,0032;86,13464;
272,6723;107,02155;257,2904;85,794752;
272,9612;110,39429;257,5776;87,90438;
273,2501;112,38711;257,8648;87,06991;
273,5390;106,61437;258,1519;87,512815;
273,8279;109,72981;258,4391;86,396252;
274,1168;105,80428;258,7263;80,042775;
274,4057;105,90061;259,0135;82,239417;
274,6946;109,15219;259,3007;82,946926;
274,9835;106,80534;259,5879;89,000609;
275,2724;101,90879;259,8751;88,635785;
275,5613;93,188164;260,1623;77,476467;
275,8502;101,3635;260,4495;84,506837;
276,1391;102,39311;260,7367;84,624147;
276,4279;100,63;261,0239;74,570216;
276,7168;105,80704;261,3110;85,922631;
277,0057;102,3234;261,5982;85,934823;
277,2946;105,07434;261,8854;85,474952;
277,5835;109,37814;262,1726;84,971216;
277,8724;101,98756;262,4598;80,082483;
278,1613;100,44049;262,7470;85,256128;
278,4502;107,77905;263,0342;82,817146;
278,7391;104,68285;263,3214;82,285734;
279,0280;105,39789;263,6086;87,216008;
279,3169;103,58801;263,8958;85,897371;
279,6058;100,59384;264,1830;80,593809;
279,8947;103,56218;264,4702;83,067018;
280,1836;104,72649;264,7573;84,674364;
280,4725;106,1683;265,0445;82,171692;
280,7614;105,80716;265,3317;83,586842;
281,0502;103,69747;265,6189;84,02351;
281,3391;103,4346;265,9061;81,327176;
281,6280;100,17016;266,1933;78,974229;
281,9169;106,35416;266,4805;76,274318;
282,2058;113,27285;266,7677;80,282426;
282,4947;113,9744;267,0549;76,907637;
282,7836;106,10793;267,3421;91,838988;
283,0725;110,30524;267,6293;84,142501;
283,3614;104,74317;267,9164;87,407083;
283,6503;117,045;268,2036;80,964624;
283,9392;104,95046;268,4908;80,830024;
284,2281;105,7714;268,7780;82,791885;
284,5170;110,30042;269,0652;81,420187;
284,8059;107,2966;269,3524;78,104473;
285,0948;106,03128;269,6396;83,144813;
285,3837;129,7756;269,9268;77,084781;
285,6725;108,92614;270,2140;77,508619;
285,9614;98,514306;270,5012;74,232822;
286,2503;95,54955;270,7884;81,907502;
286,5392;102,98095;271,0756;82,26073;
286,8281;110,75354;271,3627;82,34696;
287,1170;104,46765;271,6499;85,02469;
287,4059;102,36878;271,9371;82,90903;
287,6948;106,40226;272,2243;82,448298;
287,9837;108,74525;272,5115;82,545536;
288,2726;114,27053;272,7987;82,06695;
288,5615;119,36696;273,0859;88,479466;
